generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
45000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.205,0.788801,0.0394281,0.0321384,0
45000,Liriodendron_tulipifera,NA,282.333,0.271071,0.0329712,0.404116,0
45000,Liriodendron_tulipifera,NA,325.306,0.287828,-0.0523863,0.24174,0
46000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
46000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.063,2.55966,0.106171,3.62294,0
46000,Stipa_pennata,Bromus_erectus,347.377,7.458,0.172687,8.09299,0
46000,Nardus_stricta,Molinia_caerulea,324.611,1.35777,0.0599425,1.75686,0
46000,Narthecium_ossifragum,NA,316.444,0.597376,-0.00188141,0.53942,0
46000,Althaea_officinalis,Malva_pusilla,334.39,3.37527,0.0429844,4.42026,0
46000,Calendula_officinalis,Scorzonera_hispanica,314.095,1.23565,0.0043902,1.06038,0
46000,Teucrium_montanum,Salvia_glutinosa,324.552,2.41357,0.0586498,3.50607,0
46000,Ranunculus_aconitifolius,Ranunculus_auricomus,339.947,0.747088,0.0620457,0.171366,0
46000,Liriodendron_tulipifera,NA,319.719,0.999882,0.00791837,0.444577,0
46000,Liriodendron_tulipifera,NA,320.724,0.371771,-0.0523863,0.249056,0
47000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
47000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.042,2.55966,0.106171,3.62294,0
47000,Stipa_pennata,Bromus_erectus,347.377,7.458,0.170535,8.09299,0
47000,Nardus_stricta,Molinia_caerulea,324.611,1.35777,0.0599425,1.75686,0
47000,Narthecium_ossifragum,NA,326.248,0.547258,-0.0289831,0.491636,0
47000,Althaea_officinalis,Malva_pusilla,335.496,3.42144,0.0429844,4.42026,0
47000,Calendula_officinalis,Scorzonera_hispanica,314.464,1.23565,0.0043902,1.06038,0
47000,Teucrium_montanum,Salvia_glutinosa,324.552,2.41357,0.0608911,3.50607,0
47000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.639,0.690186,0.10942,0.349962,0
47000,Liriodendron_tulipifera,NA,322.323,0.51605,-0.0668411,0.179248,0
47000,Liriodendron_tulipifera,NA,339.43,0.039726,-0.0226413,0.188407,0
48000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
48000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.278,2.55966,0.106171,3.62294,0
48000,Stipa_pennata,Bromus_erectus,347.377,7.46805,0.1867,8.1876,0
48000,Nardus_stricta,Molinia_caerulea,324.611,1.35777,0.0589778,1.75686,0
48000,Narthecium_ossifragum,NA,331.778,0.407301,-0.00522687,0.514157,0
48000,Althaea_officinalis,Malva_pusilla,334.867,3.40085,0.0429844,4.43348,0
48000,Calendula_officinalis,Scorzonera_hispanica,314.086,1.23565,0.0043902,1.06038,0
48000,Teucrium_montanum,Salvia_glutinosa,325.968,2.41357,0.0557959,3.52641,0
48000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.539,0.741414,0.060589,0.128499,0
48000,Liriodendron_tulipifera,NA,310.735,0.536657,-0.0471225,0.192455,0
49000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
49000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.278,2.55966,0.102716,3.62294,0
49000,Stipa_pennata,Bromus_erectus,347.377,7.46805,0.1867,8.1876,0
49000,Nardus_stricta,Molinia_caerulea,324.611,1.35777,0.0593833,1.75686,0
49000,Narthecium_ossifragum,NA,316.916,0.479473,-0.0916858,0.183933,0
49000,Althaea_officinalis,Malva_pusilla,345.745,3.45521,0.0887599,3.4332,0
49000,Calendula_officinalis,Scorzonera_hispanica,311.579,1.23565,0.0043902,1.06038,0
49000,Teucrium_montanum,Salvia_glutinosa,323.791,2.46638,0.0557959,3.52641,0
49000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.328,0.839245,0.0933162,0.22873,0
49000,Liriodendron_tulipifera,NA,320.906,0.130606,-0.0158907,0.182488,0
50000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
50000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.407,2.55966,0.102716,3.62294,0
50000,Stipa_pennata,Bromus_erectus,347.377,7.46805,0.19359,8.1876,0
50000,Nardus_stricta,Molinia_caerulea,324.611,1.35777,0.0593833,1.75686,0
50000,Althaea_officinalis,Malva_pusilla,345.477,2.95274,0.026015,3.08278,0
50000,Calendula_officinalis,Scorzonera_hispanica,311.691,1.23565,0.0043902,1.06038,0
50000,Teucrium_montanum,Salvia_glutinosa,325.955,2.46638,0.0557959,3.52641,0
50000,Ranunculus_aconitifolius,Ranunculus_auricomus,339.833,1.08583,0.021493,0.626371,0
50000,Liriodendron_tulipifera,NA,315.802,0.0999663,-0.0244762,0.14576,0
51000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
51000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.407,2.55966,0.104849,3.62294,0
51000,Stipa_pennata,Bromus_erectus,347.377,7.46805,0.151064,7.82451,0
51000,Nardus_stricta,Molinia_caerulea,324.611,1.35777,0.0593833,1.75686,0
51000,Althaea_officinalis,Malva_pusilla,345.477,2.95274,0.026015,3.08278,0
51000,Calendula_officinalis,Scorzonera_hispanica,316.974,1.24246,0.0043902,1.04522,0
51000,Teucrium_montanum,Salvia_glutinosa,326.213,2.46638,0.0529497,3.52641,0
51000,Ranunculus_aconitifolius,Ranunculus_auricomus,334.81,0.95278,0.0622959,1.01427,0
51000,Liriodendron_tulipifera,NA,306.161,0.102662,-0.0208911,0.12592,0
52000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
52000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.407,2.55966,0.103639,3.62294,0
52000,Stipa_pennata,Bromus_erectus,346.921,7.47448,0.142008,7.57035,0
52000,Nardus_stricta,Molinia_caerulea,324.662,1.35777,0.0590617,1.75686,0
52000,Althaea_officinalis,Malva_pusilla,335.834,3.3232,0.0296067,3.91922,0
52000,Calendula_officinalis,Scorzonera_hispanica,316.287,1.24246,0.0043902,1.04522,0
52000,Teucrium_montanum,Salvia_glutinosa,325.68,2.46638,0.0529497,3.52641,0
52000,Ranunculus_aconitifolius,Ranunculus_auricomus,333.146,0.925521,0.073281,0.936458,0
52000,Liriodendron_tulipifera,NA,300.065,0.172333,-0.0307368,0.11779,0
53000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
53000,Cyperus_fuscus,NA,346.068,0.207123,-0.0311902,0.136246,0
53000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.407,2.55966,0.103639,3.62294,0
53000,Stipa_pennata,Bromus_erectus,346.903,7.77227,0.132757,7.64175,0
53000,Nardus_stricta,Molinia_caerulea,324.662,1.35777,0.0590617,1.75686,0
53000,Althaea_officinalis,Malva_pusilla,327.429,3.3232,0.0198932,3.91922,0
53000,Calendula_officinalis,Scorzonera_hispanica,316.553,1.24246,0.0043902,1.04522,0
53000,Teucrium_montanum,Salvia_glutinosa,324.997,2.46638,0.0529497,3.5257,0
53000,Ranunculus_aconitifolius,Ranunculus_auricomus,332.891,0.917172,0.0839656,1.05763,0
53000,Liriodendron_tulipifera,NA,308.577,0.10268,-0.0785483,0.0603089,0
54000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
54000,Cyperus_fuscus,NA,346.124,0.514579,-0.0207444,0.196994,0
54000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.324,2.55966,0.103499,3.62294,0
54000,Stipa_pennata,Bromus_erectus,347.643,7.77227,0.133948,7.09953,0
54000,Nardus_stricta,Molinia_caerulea,324.662,1.35777,0.0590617,1.75686,0
54000,Althaea_officinalis,Malva_pusilla,333.26,3.3232,0.0198932,3.91922,0
54000,Calendula_officinalis,Scorzonera_hispanica,316.616,1.24246,0.0043902,1.04522,0
54000,Teucrium_montanum,Salvia_glutinosa,324.235,2.46638,0.0559002,3.5737,0
54000,Myosurus_minimus,Ranunculus_aconitifolius,331.505,0.969311,0.0412433,0.831598,0
54000,Liriodendron_tulipifera,NA,247.729,0.237616,-0.105139,0.00941534,0
55000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
55000,Cyperus_fuscus,NA,342.374,0.544412,0.013254,0.325178,0
55000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.324,2.55966,0.103499,3.62294,0
55000,Stipa_pennata,Bromus_erectus,347.643,7.77227,0.12081,6.95615,0
55000,Nardus_stricta,Molinia_caerulea,324.662,1.35777,0.0590617,1.75686,0
55000,Althaea_officinalis,Malva_pusilla,330.375,3.37374,0.0198932,3.9702,0
55000,Calendula_officinalis,Scorzonera_hispanica,316.374,1.24246,0.0043902,1.04522,0
55000,Teucrium_montanum,Salvia_glutinosa,326.825,2.46638,0.058259,3.5737,0
55000,Ranunculus_aconitifolius,Ranunculus_auricomus,337.909,0.984485,0.0962221,0.831598,0
55000,Liriodendron_tulipifera,NA,228.692,0.230066,-0.057514,0.0203742,0
56000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
