species,velocity,log.velocity
Vicia cracca,4.31,0.63447727
Vicia hirsuta,4.31,0.63447727
Centaurea cyanus,4.3,0.633468456
Melampyrum cristatum,4.3,0.633468456
Plantago lanceolata,4.3,0.633468456
Avena fatua,4.28,0.631443769
Lathyrus pratensis,4.28,0.631443769
Honkenya peploides,4.27,0.630427875
Saponaria ocymoides,4.26,0.629409599
Alliaria petiolata,4.25,0.62838893
Lotus corniculatus,4.25,0.62838893
Medicago turbinata,4.25,0.62838893
Agrimonia eupatoria,4.24,0.627365857
Agrostemma githago,4.24,0.627365857
Agrostemma githago,4.24,0.627365857
Agrostemma githago,4.24,0.627365857
Agrostemma githago,4.24,0.627365857
Agrostemma githago,4.24,0.627365857
Arctium lappa,4.24,0.627365857
Asparagus officinalis,4.24,0.627365857
Asparagus officinalis,4.24,0.627365857
Asparagus officinalis,4.24,0.627365857
Asparagus officinalis,4.24,0.627365857
Asparagus officinalis,4.24,0.627365857
Asparagus officinalis,4.24,0.627365857
Astragalus glycyphyllos,4.24,0.627365857
Astragalus glycyphyllos,4.24,0.627365857
Astragalus glycyphyllos,4.24,0.627365857
Astragalus glycyphyllos,4.24,0.627365857
Astragalus glycyphyllos,4.24,0.627365857
Bryonia cretica s. dioica,4.24,0.627365857
Bryonia cretica s. dioica,4.24,0.627365857
Bryonia cretica s. dioica,4.24,0.627365857
Calla palustris,4.24,0.627365857
Calla palustris,4.24,0.627365857
Calla palustris,4.24,0.627365857
Calla palustris,4.24,0.627365857
Cannabis sativa,4.24,0.627365857
Carthamus tinctorius,4.24,0.627365857
Cnicus benedictus,4.24,0.627365857
Convolvulus arvensis,4.24,0.627365857
Cynoglossum officinale,4.24,0.627365857
Frangula alnus,4.24,0.627365857
Frangula alnus,4.24,0.627365857
Frangula alnus,4.24,0.627365857
Frangula alnus,4.24,0.627365857
Galium aparine,4.24,0.627365857
Galium aparine,4.24,0.627365857
Galium aparine,4.24,0.627365857
Impatiens parviflora,4.24,0.627365857
Iris pseudacorus,4.24,0.627365857
Lathyrus pratensis,4.24,0.627365857
Lathyrus pratensis,4.24,0.627365857
Lathyrus pratensis,4.24,0.627365857
Lathyrus pratensis,4.24,0.627365857
Lotus corniculatus,4.24,0.627365857
Melilotus sulcata,4.24,0.627365857
Oenanthe aquatica,4.24,0.627365857
Oenanthe aquatica,4.24,0.627365857
Ononis spinosa,4.24,0.627365857
Ononis spinosa,4.24,0.627365857
Ribes alpinum,4.24,0.627365857
Ribes alpinum,4.24,0.627365857
Rosa dumalis,4.24,0.627365857
Rosa jundzillii,4.24,0.627365857
Rosa jundzillii,4.24,0.627365857
Rosa jundzillii,4.24,0.627365857
Rosa rubiginosa,4.24,0.627365857
Rosa sherardii,4.24,0.627365857
Rosa sherardii,4.24,0.627365857
Salvia pratensis,4.24,0.627365857
Salvia pratensis,4.24,0.627365857
Scirpus maritimus,4.24,0.627365857
Sherardia arvensis,4.24,0.627365857
Silene noctiflora,4.24,0.627365857
Sorbus aria,4.24,0.627365857
Sorbus aria,4.24,0.627365857
Sorbus aria,4.24,0.627365857
Sorbus aria,4.24,0.627365857
Sorbus aria,4.24,0.627365857
Sparganium erectum,4.24,0.627365857
Vicia cracca,4.24,0.627365857
Vicia cracca,4.24,0.627365857
Vicia cracca,4.24,0.627365857
Vicia cracca,4.24,0.627365857
Vicia cracca,4.24,0.627365857
Vicia cracca,4.24,0.627365857
Vicia hirsuta,4.24,0.627365857
Vicia hirsuta,4.24,0.627365857
Vicia hirsuta,4.24,0.627365857
Vicia hirsuta,4.24,0.627365857
Vicia hirsuta,4.24,0.627365857
Vicia hirsuta,4.24,0.627365857
Arctium lappa,4.21,0.624282096
Galeopsis bifida,4.21,0.624282096
Rapistrum rugosum,4.21,0.624282096
Saponaria officinalis,4.21,0.624282096
Anthriscus sylvestris,4.2,0.62324929
Buglossoides purpurocaerulea,4.2,0.62324929
Silene vulgaris,4.2,0.62324929
Raphanus raphanistrum,4.18,0.621176282
Rapistrum rugosum,4.18,0.621176282
Agrimonia eupatoria,4.17,0.620136055
Agrimonia eupatoria,4.17,0.620136055
Agrostemma githago,4.17,0.620136055
Agrostemma githago,4.17,0.620136055
Arctium lappa,4.17,0.620136055
Arctium lappa,4.17,0.620136055
Asparagus officinalis,4.17,0.620136055
Asparagus officinalis,4.17,0.620136055
Asparagus officinalis,4.17,0.620136055
Astragalus glycyphyllos,4.17,0.620136055
Brassica nigra,4.17,0.620136055
Bryonia cretica s. dioica,4.17,0.620136055
Bryonia cretica s. dioica,4.17,0.620136055
Bryonia cretica s. dioica,4.17,0.620136055
Bryonia cretica s. dioica,4.17,0.620136055
Bryonia cretica s. dioica,4.17,0.620136055
Bryonia cretica s. dioica,4.17,0.620136055
Bryonia cretica s. dioica,4.17,0.620136055
Cakile maritima,4.17,0.620136055
Calla palustris,4.17,0.620136055
Convolvulus arvensis,4.17,0.620136055
Cynoglossum officinale,4.17,0.620136055
Elymus caninus,4.17,0.620136055
Elymus caninus,4.17,0.620136055
Fallopia convolvulus,4.17,0.620136055
Frangula alnus,4.17,0.620136055
Galium aparine,4.17,0.620136055
Galium aparine,4.17,0.620136055
Galium aparine,4.17,0.620136055
Galium aparine,4.17,0.620136055
Iris pseudacorus,4.17,0.620136055
Iris pseudacorus,4.17,0.620136055
Iris spuria,4.17,0.620136055
Iris spuria,4.17,0.620136055
Iris spuria,4.17,0.620136055
Iris spuria,4.17,0.620136055
Juniperus communis,4.17,0.620136055
Juniperus communis,4.17,0.620136055
Lotus corniculatus,4.17,0.620136055
Lotus corniculatus,4.17,0.620136055
Lotus corniculatus,4.17,0.620136055
Medicago sativa,4.17,0.620136055
Medicago sativa s. falcata,4.17,0.620136055
Plantago lanceolata,4.17,0.620136055
Ribes alpinum,4.17,0.620136055
Ribes alpinum,4.17,0.620136055
Ribes alpinum,4.17,0.620136055
Ribes alpinum,4.17,0.620136055
Rosa dumalis,4.17,0.620136055
Rosa jundzillii,4.17,0.620136055
Rosa micrantha,4.17,0.620136055
Rosa micrantha,4.17,0.620136055
Rosa rubiginosa,4.17,0.620136055
Rosa rubiginosa,4.17,0.620136055
Rosa rubiginosa,4.17,0.620136055
Rosa rubiginosa,4.17,0.620136055
Rosa rubiginosa,4.17,0.620136055
Rosa rubiginosa,4.17,0.620136055
Rumex pulcher,4.17,0.620136055
Salvia pratensis,4.17,0.620136055
Salvia pratensis,4.17,0.620136055
Salvia pratensis,4.17,0.620136055
Scirpus maritimus,4.17,0.620136055
Vicia cracca,4.17,0.620136055
Vicia cracca,4.17,0.620136055
Vicia cracca,4.17,0.620136055
Vicia hirsuta,4.17,0.620136055
Vicia hirsuta,4.17,0.620136055
Vicia hirsuta,4.17,0.620136055
Vicia villosa,4.17,0.620136055
Xanthium albinum s.lat.,4.17,0.620136055
Xanthium strumarium,4.17,0.620136055
Xanthium strumarium,4.17,0.620136055
Xanthium strumarium,4.17,0.620136055
Helianthemum nummularium,4.16,0.619093331
Scandix pecten-veneris,4.16,0.619093331
Fumana procumbens,4.15,0.618048097
Leucojum vernum,4.15,0.618048097
Salvia pratensis,4.15,0.618048097
Allium oleraceum,4.14,0.617000341
Lotus corniculatus,4.14,0.617000341
Luzula pilosa,4.13,0.615950052
Luzula sylvatica,4.13,0.615950052
Malva sylvestris,4.13,0.615950052
Polygala chamaebuxus,4.12,0.614897216
Salvia pratensis,4.12,0.614897216
Ranunculus arvensis,4.11,0.613841822
Agrimonia eupatoria,4.1,0.612783857
Agrimonia eupatoria,4.1,0.612783857
Anthericum liliago,4.1,0.612783857
Arctium lappa,4.1,0.612783857
Asparagus officinalis,4.1,0.612783857
Astragalus glycyphyllos,4.1,0.612783857
Atriplex prostrata,4.1,0.612783857
Atriplex prostrata,4.1,0.612783857
Atriplex prostrata,4.1,0.612783857
Bifora radians,4.1,0.612783857
Bifora radians,4.1,0.612783857
Brassica nigra,4.1,0.612783857
Bryonia cretica s. dioica,4.1,0.612783857
Chrysanthemum coronarium,4.1,0.612783857
Cnicus benedictus,4.1,0.612783857
Convolvulus arvensis,4.1,0.612783857
Cynoglossum officinale,4.1,0.612783857
Fallopia convolvulus,4.1,0.612783857
Frangula alnus,4.1,0.612783857
Fumaria officinalis,4.1,0.612783857
Fumaria officinalis,4.1,0.612783857
Galium aparine,4.1,0.612783857
Galium aparine,4.1,0.612783857
Halimione pedunculata,4.1,0.612783857
Honkenya peploides,4.1,0.612783857
Honkenya peploides,4.1,0.612783857
Honkenya peploides,4.1,0.612783857
Impatiens noli-tangere,4.1,0.612783857
Impatiens noli-tangere,4.1,0.612783857
Impatiens parviflora,4.1,0.612783857
Impatiens parviflora,4.1,0.612783857
Impatiens parviflora,4.1,0.612783857
Impatiens parviflora,4.1,0.612783857
Iris pseudacorus,4.1,0.612783857
Iris pseudacorus,4.1,0.612783857
Iris spuria,4.1,0.612783857
Iris spuria,4.1,0.612783857
Iris spuria,4.1,0.612783857
Iris spuria,4.1,0.612783857
Iris spuria,4.1,0.612783857
Iris spuria,4.1,0.612783857
Juniperus communis,4.1,0.612783857
Juniperus communis,4.1,0.612783857
Juniperus communis,4.1,0.612783857
Juniperus communis,4.1,0.612783857
